W_xi,W_hi,b_i,W_xf,W_hf,b_f,W_xc,W_hc,b_c,W_xo,W_ho,b_o,W_hy,b_y
5.53798770904541,12.4505033493042,0.0,5.527499675750732,12.504225730895996,0.0,5.5515031814575195,12.483932495117188,0.0,5.575812339782715,12.516852378845215,0.0,5.522524833679199,0.0
20.575254440307617,109.06006622314453,15.335186958312988,15.850622177124023,84.69071197509766,12.292004585266113,19.39203643798828,95.05033111572266,17.01542854309082,132.3633270263672,170.2138671875,22.262392044067383,144.89122009277344,17.049001693725586
19.285053253173828,113.40933990478516,16.560928344726562,16.913869857788086,103.01651763916016,14.943212509155273,17.899658203125,114.96161651611328,18.399381637573242,117.30872344970703,158.1693878173828,19.48554801940918,135.91064453125,17.699676513671875
16.78097152709961,93.93177795410156,15.533944129943848,13.481523513793945,80.39966583251953,12.236162185668945,21.180326461791992,119.55298614501953,20.068645477294922,122.77638244628906,160.1219940185547,21.335296630859375,138.58575439453125,19.591751098632812
19.570453643798828,114.16046905517578,17.698833465576172,16.71607780456543,99.19537353515625,15.358166694641113,23.64274024963379,108.72897338867188,18.45158576965332,130.63087463378906,164.25372314453125,23.24044418334961,141.20346069335938,22.471149444580078
31.738779067993164,102.0792465209961,16.567415237426758,16.61948585510254,82.39936828613281,13.541248321533203,17.82969093322754,87.29714965820312,15.245928764343262,118.0001220703125,148.3370361328125,23.763484954833984,126.66374969482422,20.526107788085938
16.335582733154297,95.33934020996094,15.673794746398926,14.407000541687012,85.83841705322266,15.002686500549316,19.549623489379883,115.72416687011719,19.363046646118164,124.94830322265625,143.90931701660156,20.021753311157227,143.34182739257812,20.213510513305664
21.628116607666016,127.53113555908203,18.787277221679688,17.941919326782227,111.96916961669922,16.461820602416992,19.42517852783203,124.85368347167969,19.523399353027344,115.77119445800781,207.79150390625,26.643774032592773,139.2550811767578,19.979562759399414
26.650402069091797,94.22772979736328,15.659870147705078,16.056867599487305,76.03459930419922,12.596579551696777,16.961406707763672,85.21063995361328,15.080023765563965,104.54959869384766,139.49282836914062,20.202957153320312,123.5134506225586,18.386266708374023
23.27139663696289,108.63505554199219,15.612753868103027,17.472206115722656,93.84105682373047,13.472000122070312,23.298513412475586,114.18685150146484,18.032804489135742,122.79496765136719,163.99862670898438,19.680137634277344,137.62083435058594,23.493011474609375
17.76759147644043,102.88569641113281,15.271255493164062,15.78731918334961,90.91836547851562,13.97400188446045,16.8052978515625,96.541015625,17.23208236694336,119.65084838867188,159.37051391601562,21.782310485839844,133.2934112548828,19.86608123779297
21.029895782470703,106.78634643554688,16.990034103393555,14.98005199432373,77.03267669677734,12.217202186584473,19.09786605834961,104.72329711914062,17.995418548583984,123.76797485351562,174.79345703125,24.51035499572754,136.71710205078125,20.96994972229004
18.300140380859375,102.30888366699219,16.483806610107422,12.55225944519043,74.62490844726562,12.407175064086914,17.136898040771484,106.94896697998047,17.649967193603516,125.12098693847656,167.6809539794922,23.955371856689453,140.5064239501953,22.517736434936523
17.106306076049805,97.30728912353516,15.18055248260498,13.737814903259277,81.53474426269531,12.25558090209961,17.617212295532227,90.28057098388672,15.379203796386719,118.36396789550781,132.59400939941406,18.34323501586914,131.3214111328125,17.923471450805664
