Iter, Loss, PPL, Acc, VLoss, VPPL, VAcc
-1, 9.936300277709961, 14.335050582885742, 0.007173601072281599, 9.968186378479004, 14.38105297088623, 0.006805556360632181
0, -1.8377795219421387, -2.651355266571045, 0.5112836360931396, -1.7906885147094727, -2.5834174156188965, 0.5109707117080688
1, 0.5400145053863525, 0.7790762186050415, 0.022567305713891983, 0.5139667987823486, 0.7414973378181458, 0.02326676994562149
2, 1.9254933595657349, 2.777899742126465, 0.05199594795703888, 1.8908339738845825, 2.7278966903686523, 0.05131218582391739
3, -0.24909643828868866, -0.3593702018260956, 0.3040509819984436, -0.21785151958465576, -0.3142932951450348, 0.3050152361392975
4, 2.0434203147888184, 2.9480323791503906, 0.12663938105106354, 2.1147055625915527, 3.050875186920166, 0.12444926798343658
5, -1.0351204872131348, -1.4933631420135498, 0.13239513337612152, -1.0228309631347656, -1.475633144378662, 0.13527758419513702
6, 2.015732526779175, 2.9080872535705566, 0.16544434428215027, 1.9720773696899414, 2.8451061248779297, 0.16508327424526215
7, -1.361253023147583, -1.9638729095458984, 0.23094776272773743, -1.3152104616165161, -1.8974475860595703, 0.22745157778263092
8, 1.137114405632019, 1.6405092477798462, 0.15482741594314575, 1.115432858467102, 1.6092294454574585, 0.15441805124282837
9, 1.7282624244689941, 2.4933555126190186, 0.016393788158893585, 1.7543468475341797, 2.530987501144409, 0.016932347789406776
10, 0.24693989753723145, 0.35625895857810974, 0.09682673960924149, 0.3074781596660614, 0.4435971975326538, 0.0954589918255806
11, 0.16570350527763367, 0.23905962705612183, 0.06489155441522598, 0.18310798704624176, 0.26416897773742676, 0.06361344456672668
12, 2.4923927783966064, 3.5957627296447754, 0.11934762448072433, 2.511775255203247, 3.623725652694702, 0.11831934750080109
13, 2.0657074451446533, 2.9801857471466064, 0.017469828948378563, 2.0888020992279053, 3.0135045051574707, 0.01719897985458374
14, 0.5611499547958374, 0.8095682263374329, 0.058190565556287766, 0.5768569111824036, 0.8322286009788513, 0.0577087365090847
15, 5.505091190338135, 7.94216775894165, 0.052755508571863174, 5.557451248168945, 8.017706871032715, 0.053939662873744965
16, -1.6696187257766724, -2.408750534057617, 0.26187020540237427, -1.6385515928268433, -2.3639302253723145, 0.2581063508987427
17, 2.625415325164795, 3.7876737117767334, 0.18693560361862183, 2.648479461669922, 3.8209481239318848, 0.18912923336029053
18, 6.755537033081055, 9.746179580688477, 0.0928095206618309, 6.859784126281738, 9.896576881408691, 0.0918012335896492
19, 1.0793794393539429, 1.5572153329849243, 0.04522744566202164, 1.0406943559646606, 1.5014045238494873, 0.04518226534128189
20, 1.8060789108276367, 2.605621099472046, 0.08813402056694031, 1.8377447128295898, 2.6513051986694336, 0.088316909968853
21, -0.7211698293685913, -1.0404281616210938, 0.2826440930366516, -0.6808400750160217, -0.982244610786438, 0.27994418144226074
22, -1.5326145887374878, -2.2110953330993652, 0.17926406860351562, -1.511055588722229, -2.179992437362671, 0.17763562500476837
23, 2.802708148956299, 4.043453216552734, 0.173212930560112, 2.833091974258423, 4.087287902832031, 0.1748502403497696
24, 1.0431338548660278, 1.5049240589141846, 0.33239513635635376, 1.0026105642318726, 1.4464613199234009, 0.3338346779346466
25, -0.710263192653656, -1.0246931314468384, 0.03596927970647812, -0.6409351825714111, -0.9246739745140076, 0.03678986802697182
26, 0.5484190583229065, 0.7912014722824097, 0.09155202656984329, 0.5431939959526062, 0.783663272857666, 0.090506911277771
27, 2.9896819591522217, 4.313199043273926, 0.0942484587430954, 2.9804935455322266, 4.299942970275879, 0.09336736798286438
28, 2.3270392417907715, 3.357208013534546, 0.05232930928468704, 2.371854543685913, 3.421862840652466, 0.0518687441945076
29, 0.007175663020461798, 0.010352293029427528, 0.22547473013401031, 0.07357697933912277, 0.10614914447069168, 0.22688207030296326
