Iter, Loss, PPL, Acc, VLoss, VPPL, VAcc, TrainTime
-1, 3.890575408935547, 5.612913608551025, 0.019077559933066368, 3.890624523162842, 5.612984657287598, 0.018501069396734238, 0.0
0, 3.4057600498199463, 4.913473129272461, 0.16577769815921783, 3.4088194370269775, 4.917886734008789, 0.16645008325576782, 1596.96875
1, 2.8449149131774902, 4.104344367980957, 0.21410667896270752, 2.846620559692383, 4.106805324554443, 0.2176276594400406, 3401.5
2, 2.8670833110809326, 4.136326789855957, 0.185690775513649, 2.8720250129699707, 4.143455982208252, 0.1869780570268631, 3620.109375
3, 2.748488426208496, 3.9652304649353027, 0.2443159818649292, 2.751329183578491, 3.9693288803100586, 0.2466619312763214, 3602.125
4, 2.8706772327423096, 4.141511917114258, 0.21214871108531952, 2.874018669128418, 4.146332263946533, 0.2127014547586441, 3610.796875
5, 2.8818559646606445, 4.157639026641846, 0.1784580945968628, 2.881483316421509, 4.157101631164551, 0.17901279032230377, 3608.65625
6, 2.8863747119903564, 4.164158344268799, 0.18462739884853363, 2.886193037033081, 4.163896560668945, 0.18717221915721893, 3601.546875
7, 2.7736074924468994, 4.001469612121582, 0.23002363741397858, 2.77803373336792, 4.007855415344238, 0.23143291473388672, 3609.8125
8, 2.9288880825042725, 4.225492477416992, 0.17568571865558624, 2.930541753768921, 4.227878093719482, 0.17764340341091156, 3598.265625
9, 2.8930928707122803, 4.1738505363464355, 0.19984808564186096, 2.890751361846924, 4.170472621917725, 0.20115867257118225, 3628.71875
10, 2.833305597305298, 4.0875959396362305, 0.21468478441238403, 2.8385205268859863, 4.095119476318359, 0.21566545963287354, 3607.703125
11, 2.7835328578948975, 4.015789031982422, 0.19735842943191528, 2.7901670932769775, 4.025360107421875, 0.19791510701179504, 3608.96875
12, 2.725085496902466, 3.931467294692993, 0.22528904676437378, 2.7236106395721436, 3.9293394088745117, 0.22763536870479584, 3619.703125
13, 2.83185076713562, 4.08549690246582, 0.22536079585552216, 2.8325960636138916, 4.086572170257568, 0.2271098792552948, 3613.71875
14, 2.9932126998901367, 4.31829309463501, 0.18521815538406372, 2.9866366386413574, 4.3088059425354, 0.18760451674461365, 3402.5
15, 2.730015516281128, 3.938579797744751, 0.23804962635040283, 2.7277286052703857, 3.9352805614471436, 0.24041035771369934, 3157.828125
16, 2.75046443939209, 3.96808123588562, 0.2504684031009674, 2.753204345703125, 3.972034215927124, 0.2524579167366028, 2595.03125
17, 2.7526443004608154, 3.971226215362549, 0.22754241526126862, 2.7535130977630615, 3.9724795818328857, 0.2283627837896347, 2599.921875
18, 2.7541048526763916, 3.9733333587646484, 0.26550763845443726, 2.748182773590088, 3.964789628982544, 0.27035585045814514, 2597.171875
19, 2.7096879482269287, 3.9092533588409424, 0.2471727579832077, 2.7083170413970947, 3.907275438308716, 0.25039735436439514, 2722.4375
20, 2.7781970500946045, 4.008090972900391, 0.22535234689712524, 2.7769885063171387, 4.00634765625, 0.2265714406967163, 2689.890625
21, 2.700770378112793, 3.896388053894043, 0.25562918186187744, 2.7007880210876465, 3.8964133262634277, 0.25701653957366943, 2683.484375
22, 2.613891839981079, 3.7710487842559814, 0.28490591049194336, 2.6112027168273926, 3.767169237136841, 0.28726229071617126, 2686.046875
23, 2.69315505027771, 3.885401487350464, 0.270719051361084, 2.7002789974212646, 3.895678997039795, 0.26895278692245483, 2686.96875
24, 2.7193832397460938, 3.9232406616210938, 0.26790446043014526, 2.7216436862945557, 3.926501750946045, 0.2701849937438965, 2695.171875
25, 2.738133192062378, 3.950291156768799, 0.2607561945915222, 2.738967180252075, 3.9514942169189453, 0.2630506753921509, 2709.453125
26, 2.691148519515991, 3.8825066089630127, 0.2780783176422119, 2.6956541538238525, 3.8890068531036377, 0.2793850302696228, 3115.015625
27, 2.6508028507232666, 3.8243000507354736, 0.29335808753967285, 2.6484014987945557, 3.820835590362549, 0.2965632975101471, 3939.546875
28, 2.649057149887085, 3.821781635284424, 0.2768039405345917, 2.65020489692688, 3.823437452316284, 0.27906662225723267, 3835.046875
29, 2.6412193775177, 3.810474157333374, 0.283753901720047, 2.639040231704712, 3.8073301315307617, 0.28633296489715576, 2856.21875
