W1,W2,E1,E2,M1,M2,U1,V1,V2,A1,A2,G1_1,G1_2,G2_1,G2_2
5.497377395629883,12.528770446777344,5.543593406677246,12.509405136108398,5.57057523727417,12.463456153869629,12.510587692260742,12.463888168334961,12.461379051208496,0.029956765472888947,0.02981707826256752,2.7581052780151367,18.81516456604004,2.7687618732452393,18.76338005065918
15.664058685302734,31.617374420166016,15.333401679992676,31.151304244995117,35.842445373535156,44.809722900390625,22.57396125793457,31.247711181640625,66.37159729003906,0.0004585466522257775,0.0004487832775339484,116.4087142944336,34.2208137512207,129.5209503173828,68.58018493652344
13.892602920532227,57.91337585449219,13.559560775756836,57.55878829956055,101.25922393798828,200.15133666992188,37.46494674682617,38.028743743896484,220.1019287109375,0.00045936668175272644,0.0004593663616105914,201.18194580078125,40.39229202270508,292.7853698730469,220.82244873046875
13.871503829956055,81.6635513305664,13.500309944152832,81.45913696289062,187.36705017089844,399.3206787109375,47.09077072143555,42.140892028808594,418.70355224609375,0.00045936633250676095,0.0004593653720803559,318.2666931152344,44.21387481689453,463.2904052734375,419.10693359375
13.811821937561035,98.72618103027344,13.461773872375488,98.57490539550781,266.93890380859375,570.2228393554688,56.847137451171875,47.7976188659668,590.2569580078125,0.00045913271605968475,0.00045768730342388153,438.2477111816406,49.62539291381836,562.691162109375,590.58154296875
14.073185920715332,116.39329528808594,13.703901290893555,116.28512573242188,355.2237548828125,786.0745239257812,65.5395736694336,53.77973556518555,776.1762084960938,0.000458942202385515,0.00045689259422942996,576.3436889648438,55.389522552490234,678.4591064453125,776.4529418945312
14.141962051391602,137.89686584472656,13.713119506835938,137.810791015625,450.0721740722656,983.4385375976562,72.353515625,60.08724594116211,955.4599609375,0.00045926152961328626,0.0004577050858642906,718.8946533203125,61.51664733886719,817.8436889648438,955.70849609375
14.326602935791016,157.20663452148438,13.984732627868652,157.119140625,547.397705078125,1153.0162353515625,79.22494506835938,67.78984069824219,1101.4486083984375,0.00045922433491796255,0.0004577750514727086,859.9547119140625,69.02757263183594,951.7189331054688,1101.694091796875
14.703049659729004,182.39759826660156,14.401616096496582,182.33082580566406,642.22314453125,1285.984130859375,87.1287841796875,75.80697631835938,1234.031005859375,0.00045933545334264636,0.0004592045152094215,1008.5171508789062,76.90773010253906,1086.375244140625,1234.268798828125
14.566813468933105,206.42465209960938,14.240925788879395,206.38548278808594,735.3612060546875,1442.87451171875,95.14769744873047,82.7195816040039,1395.9764404296875,0.00045856088399887085,0.0004549069853965193,1151.44384765625,83.70498657226562,1230.5196533203125,1396.1751708984375
14.653794288635254,227.47052001953125,14.342409133911133,227.4414520263672,824.332763671875,1620.313720703125,103.2546615600586,90.38301849365234,1567.2691650390625,0.00045925137237645686,0.000458577589597553,1290.0731201171875,91.25608825683594,1369.3968505859375,1567.4287109375
14.695992469787598,245.3690185546875,14.360760688781738,245.3484649658203,905.4086303710938,1810.408203125,110.26119232177734,97.20543670654297,1748.7506103515625,0.00045909019536338747,0.0004552264872472733,1417.07568359375,97.97871398925781,1513.566650390625,1748.8551025390625
14.596880912780762,264.8634033203125,14.284259796142578,264.84771728515625,975.6282348632812,2013.8466796875,117.57843780517578,104.87359619140625,1935.7816162109375,0.00045932800276204944,0.0004591752658598125,1536.2049560546875,105.54594421386719,1667.7916259765625,1935.839599609375
14.583344459533691,283.89666748046875,14.269743919372559,283.8838195800781,1036.449462890625,2212.541748046875,126.36091613769531,113.7326889038086,2114.579345703125,0.00045901600969955325,0.0004501024086493999,1646.3236083984375,114.31482696533203,1825.42431640625,2114.59423828125
14.834859848022461,304.59503173828125,14.519474029541016,304.5693054199219,1095.3428955078125,2421.479736328125,136.22340393066406,123.53727722167969,2301.619140625,0.00045669282553717494,0.00044431674177758396,1752.8345947265625,124.03208923339844,1998.81103515625,2301.607666015625
