Iter, Loss, PPL, Acc, VLoss, VPPL, VAcc
-1, 3.918010950088501, 5.65249490737915, 0.017220862209796906, 3.918283700942993, 5.652888298034668, 0.017294758930802345
0, 2.1870932579040527, 3.155308485031128, 0.35383155941963196, 2.1845996379852295, 3.1517109870910645, 0.3547121286392212
1, 2.0481464862823486, 2.954850673675537, 0.39035362005233765, 2.049337148666382, 2.956568479537964, 0.3905907869338989
2, 1.9282630681991577, 2.781895637512207, 0.42302724719047546, 1.9288668632507324, 2.782766580581665, 0.42265376448631287
3, 1.8632347583770752, 2.688079595565796, 0.4477972686290741, 1.8627862930297852, 2.6874325275421143, 0.44943851232528687
4, 1.7900617122650146, 2.5825130939483643, 0.4684361517429352, 1.791799545288086, 2.5850203037261963, 0.4682554006576538
5, 1.7901995182037354, 2.582711935043335, 0.4702295660972595, 1.793312430381775, 2.587203025817871, 0.46977493166923523
6, 1.7792249917984009, 2.5668790340423584, 0.47402313351631165, 1.783699870109558, 2.5733349323272705, 0.47239983081817627
7, 1.7175610065460205, 2.477916717529297, 0.4906996488571167, 1.7220163345336914, 2.484344482421875, 0.4898395538330078
8, 1.7130354642868042, 2.4713876247406006, 0.4913874566555023, 1.720818042755127, 2.4826157093048096, 0.48886364698410034
9, 1.7820954322814941, 2.5710201263427734, 0.4676850438117981, 1.7919032573699951, 2.585169792175293, 0.46295642852783203
10, 1.7338042259216309, 2.5013506412506104, 0.48437419533729553, 1.7394777536392212, 2.509535789489746, 0.4833912253379822
11, 1.7266132831573486, 2.490976333618164, 0.48710018396377563, 1.7334662675857544, 2.5008630752563477, 0.4852835237979889
12, 1.8027511835098267, 2.6008200645446777, 0.469883531332016, 1.805088996887207, 2.6041929721832275, 0.4706939160823822
13, 1.8171108961105347, 2.6215367317199707, 0.4656679928302765, 1.8150935173034668, 2.618626356124878, 0.4671345353126526
14, 1.8674108982086182, 2.6941044330596924, 0.4528610110282898, 1.8692140579223633, 2.6967058181762695, 0.45264846086502075
15, 1.7857470512390137, 2.5762884616851807, 0.46879062056541443, 1.7882182598114014, 2.5798535346984863, 0.46826833486557007
16, 1.8491967916488647, 2.6678268909454346, 0.4444679021835327, 1.8543283939361572, 2.6752302646636963, 0.4447634220123291
17, 1.8430075645446777, 2.658897876739502, 0.44725292921066284, 1.8517898321151733, 2.671567916870117, 0.4444476068019867
18, 1.9589763879776, 2.8262054920196533, 0.42747068405151367, 1.9602833986282349, 2.8280911445617676, 0.42869827151298523
19, 1.9954428672790527, 2.8788154125213623, 0.40617772936820984, 1.9997775554656982, 2.8850691318511963, 0.40543925762176514
20, 1.976805567741394, 2.8519275188446045, 0.4207570254802704, 1.9805241823196411, 2.857292413711548, 0.419208288192749
21, 1.9345016479492188, 2.790895938873291, 0.4271415174007416, 1.9365646839141846, 2.793872117996216, 0.4277689456939697
22, 1.9925243854522705, 2.8746049404144287, 0.4058823585510254, 1.9974734783172607, 2.8817451000213623, 0.40611231327056885
23, 2.013632297515869, 2.905057191848755, 0.4038020074367523, 2.0149035453796387, 2.906891345977783, 0.403337299823761
24, 2.2286252975463867, 3.215226650238037, 0.3819056451320648, 2.232598304748535, 3.2209584712982178, 0.38015854358673096
25, 2.112673759460449, 3.0479438304901123, 0.3872014582157135, 2.110504388809204, 3.044814109802246, 0.3862755000591278
26, 2.2234387397766113, 3.2077438831329346, 0.3574563264846802, 2.222883701324463, 3.2069432735443115, 0.3580903112888336
27, 2.1556267738342285, 3.1099119186401367, 0.3603299856185913, 2.1578762531280518, 3.113157272338867, 0.36014828085899353
28, 2.388059377670288, 3.4452414512634277, 0.33140772581100464, 2.39237117767334, 3.4514620304107666, 0.33042800426483154
29, 2.424717903137207, 3.4981284141540527, 0.32769009470939636, 2.4185149669647217, 3.4891796112060547, 0.32845285534858704
