W1,W2,E1,E2,M1,M2,U1,V1,V2
5.497377395629883,12.528770446777344,5.543593406677246,12.509405136108398,5.57057523727417,12.463456153869629,12.510587692260742,12.463888168334961,12.461379051208496
9.488701820373535,13.543611526489258,11.795458793640137,12.256149291992188,21.697389602661133,21.716936111450195,11.616252899169922,12.767325401306152,20.300321578979492
11.559835433959961,14.45669937133789,14.214217185974121,12.114909172058105,25.72820472717285,28.744775772094727,10.834575653076172,12.976384162902832,26.69063377380371
13.47774600982666,15.264805793762207,16.284503936767578,12.114959716796875,27.927658081054688,32.70711898803711,10.232789039611816,13.19603157043457,30.269350051879883
15.355956077575684,15.998626708984375,18.23468589782715,12.267049789428711,29.30006217956543,35.01894760131836,9.73839282989502,13.399965286254883,31.697235107421875
17.18952178955078,16.618221282958984,20.109773635864258,12.482730865478516,30.16545867919922,36.26930618286133,9.311793327331543,13.550722122192383,31.62910270690918
19.006837844848633,17.152507781982422,21.9532413482666,12.735713958740234,30.641372680664062,37.01231002807617,8.960342407226562,13.665767669677734,30.52870750427246
20.8137264251709,17.633262634277344,23.77767562866211,13.027335166931152,30.846492767333984,37.29317092895508,8.658794403076172,13.728679656982422,28.77216339111328
22.605960845947266,18.080116271972656,25.5834903717041,13.33059310913086,30.815349578857422,37.22747802734375,8.38754940032959,13.760093688964844,26.9523868560791
24.450693130493164,18.47256851196289,27.428497314453125,13.610298156738281,30.634618759155273,37.0775260925293,8.145394325256348,13.781759262084961,25.23956298828125
26.32359504699707,18.842105865478516,29.294036865234375,13.881149291992188,30.32501792907715,37.12388229370117,7.949665546417236,13.789965629577637,23.630760192871094
28.234827041625977,19.18317222595215,31.198591232299805,14.167040824890137,29.94342803955078,37.20716094970703,7.774849891662598,13.800847053527832,22.30295753479004
30.154052734375,19.492448806762695,33.10363006591797,14.442635536193848,29.497352600097656,37.22660446166992,7.610476970672607,13.802206993103027,21.166545867919922
32.06220626831055,19.764013290405273,34.99876403808594,14.687034606933594,29.013877868652344,37.100547790527344,7.444513320922852,13.802059173583984,20.208829879760742
33.982521057128906,20.03424072265625,36.90180206298828,14.93025016784668,28.50074005126953,36.792335510253906,7.301511764526367,13.799589157104492,19.39181137084961
35.9035758972168,20.26891326904297,38.80046463012695,15.13413143157959,27.971506118774414,36.4038200378418,7.159684658050537,13.793277740478516,18.784103393554688
37.82130432128906,20.49966812133789,40.6921272277832,15.353157043457031,27.39810562133789,36.12961196899414,7.0299763679504395,13.785991668701172,18.31508445739746
39.71448516845703,20.73833465576172,42.554840087890625,15.572554588317871,26.808034896850586,35.65301513671875,6.9098286628723145,13.759162902832031,17.998613357543945
41.59316635131836,20.9592342376709,44.40138244628906,15.777639389038086,26.210786819458008,35.36763000488281,6.784071445465088,13.719714164733887,17.67906951904297
43.45760726928711,21.156906127929688,46.235538482666016,15.965582847595215,25.608325958251953,35.304500579833984,6.659210205078125,13.673836708068848,17.375244140625
45.3100471496582,21.330963134765625,48.05316925048828,16.129291534423828,25.002552032470703,35.1445426940918,6.531155586242676,13.623159408569336,17.059885025024414
47.17268371582031,21.479732513427734,49.88030242919922,16.256532669067383,24.421445846557617,35.139434814453125,6.401112079620361,13.576743125915527,16.97170066833496
49.00843048095703,21.627038955688477,51.67865753173828,16.370887756347656,23.86293601989746,35.03145217895508,6.284002780914307,13.50943660736084,16.9677734375
50.807762145996094,21.756746292114258,53.440277099609375,16.504716873168945,23.341236114501953,34.9176139831543,6.16353702545166,13.437403678894043,16.68328094482422
52.563331604003906,21.89108657836914,55.15574645996094,16.64130401611328,22.836721420288086,34.79711151123047,6.047037601470947,13.357312202453613,16.464187622070312
54.23630905151367,22.02435302734375,56.79014205932617,16.78019142150879,22.338455200195312,34.8622932434082,5.932971477508545,13.271336555480957,16.23639488220215
55.8665885925293,22.110240936279297,58.379817962646484,16.868379592895508,21.8477725982666,35.00740051269531,5.815712928771973,13.185832977294922,16.139404296875
57.4650764465332,22.1814022064209,59.94609069824219,16.929393768310547,21.37810707092285,34.9149284362793,5.712627410888672,13.095779418945312,16.15601921081543
58.987083435058594,22.27205467224121,61.435855865478516,17.025840759277344,20.92276382446289,34.84042739868164,5.61305570602417,13.010560989379883,16.086681365966797
60.312015533447266,22.358213424682617,62.72517013549805,17.10474395751953,20.478382110595703,35.032135009765625,5.507294178009033,12.904524803161621,15.94767951965332
61.57386779785156,22.40346908569336,63.95722961425781,17.150318145751953,20.061153411865234,34.76759338378906,5.397453784942627,12.80161190032959,15.68049144744873
